price	screen	ram	rom	pin	camera	star
4690000	6.5	4	128	5000	48	3.3
17990000	6.56	8	256	4315	48	4.3
14990000	6.5	8	128	4500	12	1.5
2590000	5.7	2	16	3000	13	2.8
8990000	6.4	8	128	4500	64	4.5
3490000	6.53	4	64	5020	13	4.2
2690000	6.5	2	32	5000	13	2.6
2050000	6.09	2	16	3500	8	4.6
5590000	6.53	8	128	5000	13	2.8
3690000	6.4	3	32	4000	13	3.0
5990000	6.5	8	128	5000	48	3.3
4490000	6.3	4	128	4000	48	3.3
2490000	6.5	2	32	4500	13	3.1
3190000	6.53	3	64	5000	16	3.4
3490000	6.53	4	64	5000	16	3.4
8990000	6.7	8	128	7000	64	4.0
3490000	6.52	3	32	4230	13	4.0
2890000	6.55	3	64	4000	13	3.6
8990000	6.39	8	128	4000	64	4.2
3590000	6.39	6	64	4020	48	3.6
2290000	6.09	2	32	3500	8	3.2
7990000	6.49	6	128	4300	64	4.0
3190000	6.51	3	32	5000	13	3.4
6990000	6.4	8	128	4200	48	4.1
2490000	6.09	3	32	3500	8	3.5
5990000	6.39	6	64	4000	64	3.8
8490000	6.4	8	256	4025	64	3.4
7290000	6.6	8	128	4300	64	4.1
13990000	6.44	12	256	4115	48	3.6
6290000	6.4	6	128	5000	48	3.1
3190000	6.5	3	32	5000	13	5.0
7490000	6.44	8	128	4500	48	4.0
8490000	6.7	8	128	4500	64	3.5
2890000	6.35	3	32	5000	13	4.4
4290000	6.5	4	128	5000	48	4.0
7590000	6.5	8	128	4000	48	2.9
4590000	6.5	6	64	5000	48	3.9
6790000	6.44	8	128	4100	48	4.3
4690000	6.5	3	32	5000	48	3.2
13490000	6.7	8	128	4500	48	3.8
3390000	6.39	4	64	4000	13	3.0
7490000	6.5	6	128	4000	48	3.2
5690000	6.67	6	128	5020	48	3.7
4760000	6.5	6	128	4230	12	1.8
19990000	6.78	12	256	4200	48	4.5
3490000	6.3	4	64	5000	13	3.0
10490000	6.81	8	128	4500	64	4.5
7990000	6.44	8	128	4000	64	4.0
6990000	6.44	8	128	4500	48	4.0
21990000	6.7	8	128	4500	12	4.0
26990000	6.9	12	256	4500	108	3.4
4590000	6.53	6	128	5000	16	4.1
3590000	6.5	3	64	5000	12	4.2
4990000	6.5	6	128	5000	13	4.7
4690000	6.51	6	128	5000	13	1.5
4190000	6.5	4	64	5000	48	3.9
3890000	6.53	6	64	5000	16	4.2
5490000	6.38	8	128	4500	48	4.1
5490000	6.5	4	128	4300	64	4.1
6690000	6.67	6	128	5160	64	4.2
4490000	6.5	4	128	5000	13	3.3
5490000	6.4	4	64	4000	48	3.1
4690000	6.5	6	128	5000	48	5.0
1590000	6.1	2	32	3000	8	3.7
2490000	6.53	2	32	5000	13	3.5
5690000	6.5	6	64	5000	48	2.5
4090000	6.47	4	128	5000	13	3.4
6690000	6.5	8	128	5000	64	3.6
4090000	6.5	4	128	4230	12	2.8
7190000	6.39	8	128	4000	64	3.6
23990000	6.78	12	256	4510	48	5.0
2990000	6.5	3	32	5000	12	3.6
3290000	6.52	3	32	6000	13	4.5
23990000	6.9	8	256	4500	108	4.2
11990000	6.5	8	256	4000	48	4.3
4890000	6.5	4	64	4000	13	3.6
17990000	6.7	8	256	4300	12	3.3
17490000	6.55	12	256	4500	48	5.0
8490000	6.4	8	128	4015	48	3.5
2690000	6.5	3	32	5000	13	3.7
7490000	6.43	8	128	4000	48	3.6
19490000	6.2	8	128	4000	12	5.0
3890000	6.5	3	32	4000	13	2.5
8290000	6.7	6	128	4500	32	3.2
4090000	6.51	4	128	5000	13	3.0
2990000	6.22	3	32	4230	13	3.2
26990000	6.9	12	256	4500	108	5.0
3190000	6.53	3	32	5020	13	3.6
3990000	6.5	4	64	6000	13	4.7
16490000	6.8	12	256	4300	12	4.1
3690000	6.52	4	64	5000	12	3.3
6990000	6.4	8	128	4025	48	3.5
2990000	6.5	4	64	5000	13	3.4
3590000	6.3	3	32	4000	48	3.0
5990000	6.5	8	128	5000	64	3.4
